gram_key,brand name,description,corrected spelling,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag1_list,tag2_list,tag3_list,tag4_list,tag5_list
coors light,coors,light/diet beer,,b,2.0,alcohol,beer,light beer,fermented,,complete,3,['alcohol'],['beer'],['light beer'],['fermented'],
cordial,,,,b,1.0,,,,,,,,,,,,
cordon,,,,modifier,1.0,,,,,,,,,,,,
cordon bleu,,"meat wrapped around cheese, breaded and fried",,f,2.0,"grain, protein, dairy","wheat, poultry, cheese, pork",chicken,saturated fat,,incomplete,3,"['grain', 'protein', 'dairy']","['wheat', 'poultry', 'cheese', 'pork']",['chicken'],['saturated fat'],
coriander,,coriander,coriander,f,1.0,other,spice,,,,complete,,['other'],['spice'],,,
corn,,grain/vegetable,,f,1.0,vegetable,,,,,complete,,['vegetable'],,,,
corn chip,,corn chip,,f,2.0,grain,corn,,"high sodium, highly processed",,complete,4,['grain'],['corn'],,"['high sodium', 'highly processed']",
corn cob,,corn on the cob,corn on the cob,f,2.0,"vegetable, grain",corn,,,,complete,,"['vegetable', 'grain']",['corn'],,,
corn dog,,,,f,2.0,,,,,,,,,,,,
corn flake,,breakfast cereal,,f,2.0,grain,"cereal grain, corn",,"highly processed, added sugar",,,,['grain'],"['cereal grain', 'corn']",,"['highly processed', 'added sugar']",
corn thins,,grain,,f,2.0,grain,corn,,,,,,['grain'],['corn'],,,
corn tortilla,,corn tortilla,,f,2.0,grain,whole grain,,,,complete,3,['grain'],['whole grain'],,,
corn tortilla chip,,,,f,3.0,grain,corn,,fried,,,,['grain'],['corn'],,['fried'],
cornbread,,cornbread,,f,1.0,"grain, dessert/sweet treat","wheat, corn, baked good",,"highly processed, added sugar",,complete,,"['grain', 'dessert/sweet treat']","['wheat', 'corn', 'baked good']",,"['highly processed', 'added sugar']",
corned beef,,corned beef,,f,2.0,protein,red meat,beef,"saturated fat, high sodium",,complete,3,['protein'],['red meat'],['beef'],"['saturated fat', 'high sodium']",
corned beef hash,,,,f,3.0,,,,,,,,,,,,
corner,,,,stopword,1.0,,,,,,,,,,,,
cornetto,,italian frozen dessert cone,,f,1.0,"grain, dairy, dessert/sweet treat","wheat, milk, butter",,"added sugar, additive",,complete,4,"['grain', 'dairy', 'dessert/sweet treat']","['wheat', 'milk', 'butter']",,"['added sugar', 'additive']",
cornish pasty,,pastry with meat and vegetables inside,,f,2.0,"grain, vegetable, protein",wheat,,,,incomplete,4,"['grain', 'vegetable', 'protein']",['wheat'],,,
cornmeal,,ground up dried corn,,f,1.0,grain,corn,,,,complete,2,['grain'],['corn'],,,
corona,corona,beer,,b,1.0,alcohol,beer,,fermented,,complete,3,['alcohol'],['beer'],,['fermented'],
coronation,,,,modifier,1.0,,,,,,,,,,,,
corriander,,coriander,coriander,f,1.0,,,,,,vague,1,,,,,
cortado,,equal amounts of espresso and milk,,b,1.0,"coffee, dairy",milk,,"caffeine, saturated fat",,complete,1,"['coffee', 'dairy']",['milk'],,"['caffeine', 'saturated fat']",
cosmopolitan,,"cocktail, vodka with cranberry juice",,b,1.0,"alcohol, juice/smoothie","liquor, fruit",mixed,added sugar,,incomplete,4,"['alcohol', 'juice/smoothie']","['liquor', 'fruit']",['mixed'],['added sugar'],
costco,,,,modifier,1.0,,,,,,,,,,,,
costco sample,,costco sample,,f,2.0,,,,,,vague,v,,,,,
cotija,,,,f,1.0,,,,,,,,,,,,
cottage cheese,,cottage cheese,,f,2.0,dairy,cheese,,,,complete,3,['dairy'],['cheese'],,,
cottage pie,,"Shepherd's pie, meat, potato",,f,2.0,"protein, vegetable","beef, root",,"high sodium, saturated fat",,,,"['protein', 'vegetable']","['beef', 'root']",,"['high sodium', 'saturated fat']",
cough,,,,stopword,1.0,,,,,,,,,,,,
country,,,,stopword,1.0,,,,,,,,,,,,
couple,,,,modifier,1.0,,,,,,,,,,,,
courgette,,zucchini,zucchini,f,1.0,fruit,,,,,complete,,['fruit'],,,,
course,,,,stopword,1.0,,,,,,,,,,,,
couscous,,couscous,,f,1.0,grain,wheat,,,,complete,,['grain'],['wheat'],,,
covered,,,,modifier,1.0,,,,,,,,,,,,
cow cream,,,,b,2.0,,,,,,,,,,,,
cow milk,,,,b,2.0,,,,,,,,,,,,
cowboy,,,,stopword,1.0,,,,,,,,,,,,
coyo,coyo,dairy free yogurt alternative,,f,1.0,dairy alternative,coconut,,,,complete,3,['dairy alternative'],['coconut'],,,
crab,,crab,,f,1.0,protein,seafood,,,,complete,,['protein'],['seafood'],,,
crab cake,,,,f,2.0,"protein, grain, dairy","seafood, wheat, mayo",,,,,,"['protein', 'grain', 'dairy']","['seafood', 'wheat', 'mayo']",,,
crack,,,,stopword,1.0,,,,,,,,,,,,
crack bread,,,,f,2.0,,,,,,,,,,,,
cracked,,,,modifier,1.0,,,,,,,,,,,,
cracker,,cracker,,f,1.0,grain,wheat,,,,complete,,['grain'],['wheat'],,,
cracklins,,pork rind,,f,1.0,protein,pork,,fried,,complete,4,['protein'],['pork'],,['fried'],
craft,,,,modifier,1.0,,,,,,,,,,,,
craisins,,dried cranberry,,f,1.0,fruit,dried fruit,,,,,,['fruit'],['dried fruit'],,,
cranberry,,cranberry,,f,1.0,fruit,berry,,,,complete,,['fruit'],['berry'],,,
cranberry juice,,cranberry juice,,b,2.0,juice/smoothie,fruit,,added sugar,,complete,1,['juice/smoothie'],['fruit'],,['added sugar'],
cranberry sauce,,,,f,2.0,"fruit,other","sauce, berry",,added sugar,sauce,,,"['fruit,other']","['sauce', 'berry']",,['added sugar'],['sauce']
crap carbs,,,,stopword,2.0,,,,,,,,,,,,
crauti,,fermented cabbage,,f,1.0,vegetable,leafy,,fermented,,complete,3,['vegetable'],['leafy'],,['fermented'],
craving,,,,stopword,1.0,,,,,,,,,,,,
crawfish,,crawfish,,f,1.0,protein,seafood,,,,complete,3,['protein'],['seafood'],,,
cream,,,,b,1.0,dairy,cream,,,,,,['dairy'],['cream'],,,
cream cheese,,cream cheese,,f,2.0,dairy,cheese,,saturated fat,spread,complete,4,['dairy'],['cheese'],,['saturated fat'],['spread']
cream cone,,ice cream cone,,f,2.0,grain,wheat,,,,vague,v,['grain'],['wheat'],,,
cream of wheat,,,,f,3.0,grain,cereal grain,,,,,,['grain'],['cereal grain'],,,
cream puff,,,,f,2.0,,,,,,,,,,,,
cream sauce,,,,f,2.0,"dairy, grain","cream, cheese, wheat",,,,,,"['dairy', 'grain']","['cream', 'cheese', 'wheat']",,,
creamed,,,,modifier,1.0,,,,,,,,,,,,
creamer,,creamer,,b,1.0,dairy alternative,creamer,,"added sugar, additive, highly processed",,complete,,['dairy alternative'],['creamer'],,"['added sugar', 'additive', 'highly processed']",
creamy,,,,modifier,1.0,,,,,,,,,,,,
crema,,mexican cream,,f,1.0,dairy,cream,,saturated fat,,complete,4,['dairy'],['cream'],,['saturated fat'],
creme,,creme,,b,1.0,dairy,cream,,saturated fat,,complete,,['dairy'],['cream'],,['saturated fat'],
creme brulee,,,,f,2.0,,,,,,,,,,,,
creme fraiche,,dairy,,f,2.0,dairy,cream,,fermented,,,,['dairy'],['cream'],,['fermented'],
crepe,,crepe,crepe,f,1.0,"dairy, grain","wheat, milk",,"added sugar, saturated fat",,complete,,"['dairy', 'grain']","['wheat', 'milk']",,"['added sugar', 'saturated fat']",
crescent,,,,modifier,1.0,,,,,,,,,,,,
cress,,cress,,f,1.0,other,herb,,,,complete,1,['other'],['herb'],,,
cricket,,,,stopword,1.0,,,,,,,,,,,,
crimini,,type of mushroom,cremini,f,1.0,vegetable,mushroom,,,,complete,1,['vegetable'],['mushroom'],,,
crisp,,,,modifier,1.0,,,,,,,,,,,,
crispbread,,crispbread,crispbread crackers,f,1.0,grain,wheat,,highly processed,,,,['grain'],['wheat'],,['highly processed'],
crisped,,,,modifier,1.0,,,,,,,,,,,,
crispies,,,,modifier,1.0,,,,,,,,,,,,
crispix,crispix,cereal,,f,1.0,grain,cereal grain,,"highly processed, added sugar",,complete,4,['grain'],['cereal grain'],,"['highly processed', 'added sugar']",
crispy,,,,modifier,1.0,,,,,,,,,,,,
crockpot,,,,f,1.0,,,,,,vague,v,,,,,
croissant,,croissant,,f,1.0,"grain, dairy","wheat, butter",,added sugar,,complete,,"['grain', 'dairy']","['wheat', 'butter']",,['added sugar'],
croquette,,,,f,1.0,,,,,,,,,,,,
crostini,,italian appetizer consisting of slices of bread with toppings,,f,1.0,grain,wheat,,,,incomplete,3,['grain'],['wheat'],,,
crouton,,bread,,f,1.0,grain,wheat,,,,,,['grain'],['wheat'],,,
cruciferous,,,,modifier,1.0,,,,,,,,,,,,
crudite,,vegetables in a vinaigrette or dipping sauce,,f,1.0,vegetable,,,,,incomplete,3,['vegetable'],,,,
crumbed,,,,stopword,1.0,,,,,,,,,,,,
crumble,,crumble,crumble,f,1.0,dessert/sweet treat,"wheat, fruit",,"added sugar, saturated fat",,vague,,['dessert/sweet treat'],"['wheat', 'fruit']",,"['added sugar', 'saturated fat']",
crumbled,,,,modifier,1.0,,,,,,,,,,,,
crumpet,,crumpet,crumpet,f,1.0,grain,wheat,,"added sugar, saturated fat ",,complete,,['grain'],['wheat'],,"['added sugar', 'saturated fat ']",
crunchie,crunchie,chocolate bar,,f,1.0,dessert/sweet treat,chocolate,,"added sugar, highly processed",,complete,4,['dessert/sweet treat'],['chocolate'],,"['added sugar', 'highly processed']",
crunchy,,,,modifier,1.0,,,,,,,,,,,,
crush,crush,soda,,b,1.0,soda,,,"added sugar, caffeine-free",,complete,4,['soda'],,,"['added sugar', 'caffeine-free']",
cruskits,cruskits,biscuits,,f,1.0,grain,"wheat, rye",,,,complete,4,['grain'],"['wheat', 'rye']",,,
crusted,,,,modifier,1.0,,,,,,,,,,,,
crustless,,,,modifier,1.0,,,,,,,,,,,,
crusty,,,,modifier,1.0,,,,,,,,,,,,
crystal light,crystal light,enhanced water drink,,b,2.0,sports drink,,,artificial sweetener,,complete,4,['sports drink'],,,['artificial sweetener'],
crystal lite peach tea,,,,b,4.0,,,,,,,,,,,,
crystallized,,,,modifier,1.0,,,,,,,,,,,,
cuban,,,,modifier,1.0,,,,,,,,,,,,
cubano,,,,f,1.0,,,,,,,,,,,,
cube,,,,modifier,1.0,,,,,,,,,,,,
cubed,,,,modifier,1.0,,,,,,,,,,,,
cucumber,,cucumber,,f,1.0,vegetable,,,,,complete,,['vegetable'],,,,
cucumber salad,,cucumber salad,cucumber salad,f,2.0,fruit,berry,,,,complete,3,['fruit'],['berry'],,,
cucumerin,,,,f,1.0,,,,,,,,,,,,
culture,,,,stopword,1.0,,,,,,,,,,,,
cultured,,,,modifier,1.0,,,,,,,,,,,,
culvers,culver's,,,modifier,1.0,,,,,,,,,,,,
cumin,,cumin,cumin,f,1.0,other,spice,,,seasoning,complete,,['other'],['spice'],,,['seasoning']
cup,,,,modifier,1.0,,,,,,,,,,,,
cupcake,,cupcake,,f,1.0,dessert/sweet treat,baked good,,"added sugar, added salt, saturated fat, ",,complete,,['dessert/sweet treat'],['baked good'],,"['added sugar', 'added salt', 'saturated fat', '']",
curcuma,,curcuma,,f,1.0,other,plant,,,,complete,2,['other'],['plant'],,,
curd,,curd,curd,f,1.0,dairy,milk,,saturated fat,,incomplete,,['dairy'],['milk'],,['saturated fat'],
cured,,,,modifier,1.0,,,,,,,,,,,,
cured sheep,,sheep,,f,2.0,protein,red meat,lamb,,,incomplete,3,['protein'],['red meat'],['lamb'],,
curl,,,,modifier,1.0,,,,,,,,,,,,
currant,,small seedless raisin,,f,1.0,fruit,berry,,,,incomplete,1,['fruit'],['berry'],,,
curried,,,,modifier,1.0,,,,,,,,,,,,
curry,,curry - sauce or dish,,f,1.0,other,,,,,vague,,['other'],,,,
curry rice,,rice with curry,seasoning,f,2.0,"grain, dairy","rice, yogurt",,fermented,seasoning,vague,3,"['grain', 'dairy']","['rice', 'yogurt']",,['fermented'],['seasoning']
curry sauce,,,,f,2.0,other,sauce,,,sauce,,,['other'],['sauce'],,,['sauce']
custard,,custard,,f,1.0,dairy,,,,,vague,,['dairy'],,,,
cut,,,,stopword,1.0,,,,,,,,,,,,
cutie,,,,f,1.0,,,,,,,,,,,,
cuties,cuties,mandarins,mandarins,f,1.0,fruit,citrus,,,,complete,1,['fruit'],['citrus'],,,
cutlet,,,,f,1.0,,,,,,,,,,,,
cuttlefish,,cuttlefish,,f,1.0,protein,seafood,,,,complete,3,['protein'],['seafood'],,,
d,,,,stopword,1.0,,,,,,,,,,,,
dahl,,"indian cuisine, same as daal?",daal,f,1.0,protein,legume,lentil,,,,,['protein'],['legume'],['lentil'],,
daikon,,vege,,f,1.0,vegetable,root,,,,,,['vegetable'],['root'],,,
daily,,,,stopword,1.0,,,,,,,,,,,,
daily intake,,,,stopword,2.0,,,,,,,,,,,,
daim,daim,chocolate bar,,f,1.0,dessert/sweet treat,chocolate,,"added sugar, highly processed",,complete,4,['dessert/sweet treat'],['chocolate'],,"['added sugar', 'highly processed']",
daiquiri,,,,b,1.0,,,,,,,,,,,,
dairy,,dairy,,b,1.0,dairy,,,,,,,['dairy'],,,,
dairy free,,,,modifier,2.0,,,,,,,,,,,,
dairy queen,dairy queen,,,modifier,2.0,,,,,,,,,,,,
daiya,daiya,plant based foods,,modifier,1.0,,,,,,,,,,,,
dal,,lentils,,f,1.0,protein,legume,lentil,,,complete,,['protein'],['legume'],['lentil'],,
damson,,plum,,f,1.0,fruit,,,,,complete,1,['fruit'],,,,
dandelion,,,,f,1.0,vegetable,leafy,,,,vague,,['vegetable'],['leafy'],,,
dandelion root tea,,,,b,3.0,,,,,,,,,,,,
dandelion tea,,,,b,2.0,tea,herbal,,,,,,['tea'],['herbal'],,,
dandy blend,dandy blend,coffee alternative,,b,2.0,tea,herbal,,"caffeine-free, gluten-free",,incomplete,4,['tea'],['herbal'],,"['caffeine-free', 'gluten-free']",
danish,,sweet,,f,1.0,dessert/sweet treat,baked food,,"saturaed fat, added sugar",,,4,['dessert/sweet treat'],['baked food'],,"['saturaed fat', 'added sugar']",
darjeeling,,type of tea,,b,1.0,tea,black,,,,incomplete,1,['tea'],['black'],,,
dark,,,,modifier,1.0,,,,,,,,,,,,
dark chocolate,,dark chocolate,,f,2.0,dessert/sweet treat,chocolate,,"added sugar, saturated fat",,complete,4,['dessert/sweet treat'],['chocolate'],,"['added sugar', 'saturated fat']",
dark chocolate almond,,dark chocolate covered almonds,dark chocolate covered almonds,f,3.0,"dessert/sweet treat, nut","chocolate, almond",,"added sugars, unsaturated fat, saturated fat ",,complete,4,"['dessert/sweet treat', 'nut']","['chocolate', 'almond']",,"['added sugars', 'unsaturated fat', 'saturated fat ']",
dark chocolate chip,,,,f,3.0,dessert/sweet treat,chocolate,,,,,,['dessert/sweet treat'],['chocolate'],,,
dark chocolate peanut butter bar,,dark chocolate peanut butter bar,dark chocolate peanut butter bar,f,5.0,"dessert/sweet treat, nut","chocolate, peanut",,"added sugars, unsaturated fat, saturated fat ",bars,incomplete,4,"['dessert/sweet treat', 'nut']","['chocolate', 'peanut']",,"['added sugars', 'unsaturated fat', 'saturated fat ']",['bars']
dasani,dasani,water,,w,1.0,,,,,,,,,,,,
dash,,,,modifier,1.0,,,,,,,,,,,,
date,,date,,f,1.0,fruit,,,,,complete,,['fruit'],,,,
date syrup,,,,f,2.0,other,syrup,,,,,,['other'],['syrup'],,,
daves,daves,,,modifier,1.0,,,,,,,,,,,,
daves killer bread,,,,f,3.0,,,,,,,,,,,,
day,,,,stopword,1.0,,,,,,,,,,,,
de,,,,stopword,1.0,,,,,,,,,,,,
deca,,,decaf,modifier,1.0,,,,,,,,,,,,
decaffeinated,,,,modifier,1.0,,,,,,,,,,,,
deck,,,,stopword,1.0,,,,,,,,,,,,
deep,,,,modifier,1.0,,,,,,,,,,,,
deer,,deer,,f,1.0,protein,red meat,deer,,,complete,3,['protein'],['red meat'],['deer'],,
dehydrated,,,,modifier,1.0,,,,,,,,,,,,
delete,,,,stopword,1.0,,,,,,,,,,,,
deli,,,,modifier,1.0,,,,,,,,,,,,
delicata,,,,modifier,1.0,,,,,,,,,,,,
delicious,,,,stopword,1.0,,,,,,,,,,,,
deluxe,,,,modifier,1.0,,,,,,,,,,,,
demerara,,raw cane sugar,,f,1.0,other,sugar,,added sugar,,complete,2,['other'],['sugar'],,['added sugar'],
denver,,,,stopword,1.0,,,,,,,,,,,,
desayuno,,breakfast,"spanish for ""breakfast""",f,1.0,,,,,,vague,v,,,,,
desert,,dessert,dessert,f,1.0,dessert/sweet treat,,,added sugar,,,,['dessert/sweet treat'],,,['added sugar'],
desiccated,,,,modifier,1.0,,,,,,,,,,,,
desiring,,,,stopword,1.0,,,,,,,,,,,,
dessert,,,,f,1.0,,,,,,,,,,,,
detox,,,,modifier,1.0,,,,,,,,,,,,
detox tea,,,,b,2.0,tea,herbal,,,,,,['tea'],['herbal'],,,
deviled,,,,modifier,1.0,,,,,,,,,,,,
deviled egg,,deviled egg,,f,2.0,"protein, dairy","egg, mayo",,"saturated fat, unsaturated fat ",,incomplete,4,"['protein', 'dairy']","['egg', 'mayo']",,"['saturated fat', 'unsaturated fat ']",
dew,,,,f,1.0,,,,,,vague,,,,,,
dextrose,,sweetener,,f,1.0,other,artificial sweetener,,,,complete,4,['other'],['artificial sweetener'],,,
dhokla,,savory cake made with fermented batter of lentils and rice,,f,1.0,"grain, protein","rice, legume, baked good",bean,,,incomplete,3,"['grain', 'protein']","['rice', 'legume', 'baked good']",['bean'],,
diced,,,,modifier,1.0,,,,,,,,,,,,
diet,,,,modifier,1.0,,,,,,,,,,,,
diet coke,coke,diet soda,,b,2.0,soda,diet soda,,"caffeine, artificial sweetener",,complete,4,['soda'],['diet soda'],,"['caffeine', 'artificial sweetener']",
diet cola,,,,b,2.0,soda,diet soda,,"caffeine, artifical sweetener",,,,['soda'],['diet soda'],,"['caffeine', 'artifical sweetener']",
diet dr pepper,dr. pepper,diet soda,,b,3.0,soda,diet,,"caffeine, artificial sweetener",,complete,4,['soda'],['diet'],,"['caffeine', 'artificial sweetener']",
diet ginger ale,,,,b,3.0,soda,diet soda,,"caffeine, artifical sweetener",,,,['soda'],['diet soda'],,"['caffeine', 'artifical sweetener']",
diet green tea,,,,b,3.0,tea,green,,artificial sweetener,,,,['tea'],['green'],,['artificial sweetener'],
diet mountain dew,,,,b,3.0,soda,diet soda,,"caffeine, artifical sweetener",,,,['soda'],['diet soda'],,"['caffeine', 'artifical sweetener']",
diet pepsi,pepsi,diet soda,,b,2.0,soda,diet soda,,"caffeine, artificial sweetener",,complete,4,['soda'],['diet soda'],,"['caffeine', 'artificial sweetener']",
diet root beer,,,,b,3.0,soda,diet soda,,"caffeine, artifical sweetener",,,,['soda'],['diet soda'],,"['caffeine', 'artifical sweetener']",
diet soda,,diet soda,,b,2.0,soda,diet,,"caffeine, artificial sweetener",,complete,4,['soda'],['diet'],,"['caffeine', 'artificial sweetener']",
dietary,,,,modifier,1.0,,,,,,,,,,,,
digestive,,,,modifier,1.0,,,,,,,,,,,,
dijon mustard,,mustard,,f,2.0,,,,,condiments,,,,,,,['condiments']
dill,,dill,,f,1.0,vegetable,leafy,,,seasoning,incomplete,,['vegetable'],['leafy'],,,['seasoning']
dill pickle,,dill pickle,,f,2.0,fruit,berry,,"high sodium, fermented ",,incomplete,3,['fruit'],['berry'],,"['high sodium', 'fermented ']",
dilute,,,,stopword,1.0,,,,,,,,,,,,
diluted,,,,modifier,1.0,,,,,,,,,,,,
dim sum,,chinese brunch dishes,,f,2.0,"grain, protein",,,,,,,"['grain', 'protein']",,,,
diner,,,,modifier,1.0,,,,,,,,,,,,
dinner,,,,f,1.0,other,,,,,,,['other'],,,,
dip,,,,f,1.0,,,,,dip,,,,,,,['dip']
dipped,,,,modifier,1.0,,,,,,,,,,,,
dipping,,,,modifier,1.0,,,,,,,,,,,,
dirty,,,,modifier,1.0,,,,,,,,,,,,
dish,,,,stopword,1.0,,,,,,,,,,,,
distilled,,,,modifier,1.0,,,,,,,,,,,,
divine,,,,modifier,1.0,,,,,,,,,,,,
dl,,,,modifier,1.0,,,,,,,,,,,,
doctor,,,,stopword,1.0,,,,,,,,,,,,
dole,,,,modifier,1.0,,,,,,,,,,,,
dollop,,,,modifier,1.0,,,,,,,,,,,,
dolma,,stuffed dish,,f,1.0,,,,,,vague,3,,,,,
domestic,,,,modifier,1.0,,,,,,,,,,,,
domino,dominos,pizza,,f,1.0,"grain, protein, fruit, dairy","wheat, cheese",,"saturated fat, high sodium",sauce,complete,4,"['grain', 'protein', 'fruit', 'dairy']","['wheat', 'cheese']",,"['saturated fat', 'high sodium']",['sauce']
doner,,,,modifier,1.0,,,,,,,,,,,,
dont add,,,,stopword,2.0,,,,,,,,,,,,
donut,,donut,,f,1.0,"grain, dairy",,,"highly processed, added sugar, trans fat",,complete,,"['grain', 'dairy']",,,"['highly processed', 'added sugar', 'trans fat']",
donut hole,,,,f,2.0,,,,,,,,,,,,
doritos,doritos,chips,,f,1.0,grain,corn,,"highly processed, high sodium",,complete,,['grain'],['corn'],,"['highly processed', 'high sodium']",
dosa,,crepe,,f,1.0,"dairy, grain","wheat, milk",,"added sugar, saturated fat",,complete,,"['dairy', 'grain']","['wheat', 'milk']",,"['added sugar', 'saturated fat']",
double,,,,modifier,1.0,,,,,,,,,,,,
double chocolate munk cookie,,,,f,4.0,,,,,,,,,,,,
double cream,,,,f,2.0,dairy,cream,,,,,,['dairy'],['cream'],,,
double double,,,,f,2.0,,,,,,vague,,,,,,
double espresso,,espresso,,b,2.0,coffee,,,caffeine,,complete,1,['coffee'],,,['caffeine'],
doughnut,,doughnut,,f,1.0,"grain, dairy",,,"highly processed, added sugar, trans fat",,complete,,"['grain', 'dairy']",,,"['highly processed', 'added sugar', 'trans fat']",
dover,,,,modifier,1.0,,,,,,,,,,,,
dq,dairy queen,,,modifier,1.0,,,,,,,,,,,,
dr pepper,dr. pepper,soda,,b,2.0,soda,,,"caffeine, added sugar",,complete,4,['soda'],,,"['caffeine', 'added sugar']",
dr rhonda patrick,,,,modifier,3.0,,,,,,,,,,,,
draft,,,,modifier,1.0,,,,,,,,,,,,
dragon,,,,stopword,1.0,,,,,,,,,,,,
dragon fruit,,,,f,2.0,fruit,berry,,,,,,['fruit'],['berry'],,,
drank,,,,stopword,1.0,,,,,,,,,,,,
dream,,,,stopword,1.0,,,,,,,,,,,,
dress,,,,stopword,1.0,,,,,,,,,,,,
dressing,,dressing,,f,1.0,other,,,saturated fat,dressing,vague,,['other'],,,['saturated fat'],['dressing']
dried,,,,modifier,1.0,,,,,,,,,,,,
dried apricot,,dried apricot,,f,2.0,fruit,stone fruit,,"added sugar, saturated fat",,complete,1,['fruit'],['stone fruit'],,"['added sugar', 'saturated fat']",
dried blueberry,,,,f,2.0,,,,,,,,,,,,
dried cranberry,,dried cranberry,,f,2.0,fruit,dried fruit,,,,complete,1,['fruit'],['dried fruit'],,,
dried mango,,dried mango,,f,2.0,fruit,dried fruit,,,,complete,1,['fruit'],['dried fruit'],,,
drink,,,,b,1.0,,,,,,,,,,,,
drinking,,,,modifier,1.0,,,,,,,,,,,,
drip,,,,modifier,1.0,,,,,,,,,,,,
drop,,,,modifier,1.0,,,,,,,,,,,,
drug,,,,stopword,1.0,,,,,,,,,,,,
drum,,,,stopword,1.0,,,,,,,,,,,,
drunken,,,,modifier,1.0,,,,,,,,,,,,
dry,,,,modifier,1.0,,,,,,,,,,,,
dubliner,,,,modifier,1.0,,,,,,,,,,,,
duck,,duck,,f,1.0,protein,poultry,duck,,,complete,,['protein'],['poultry'],['duck'],,
duck fat,,,,f,2.0,,,,,,,,,,,,
duke,,,,modifier,1.0,,,,,,,,,,,,
dukkah,,"herbs, nuts, and spices",,f,1.0,"nut, other","herb, spice",,,,complete,3,"['nut', 'other']","['herb', 'spice']",,,
dulce leche,,milk and sugar,,f,2.0,dairy,milk,,"added sugar, saturated fat",,complete,4,['dairy'],['milk'],,"['added sugar', 'saturated fat']",
dumpling,,dumpling,,f,1.0,"grain, protein, vegetable",,,,,vague,,"['grain', 'protein', 'vegetable']",,,,
dunkin,dunkin,,,modifier,1.0,,,,,,,,,,,,
dunkin,dunkin,donuts,,f,1.0,"grain, dessert/sweet treat","wheat, baked good",,added sugar,,complete,4,"['grain', 'dessert/sweet treat']","['wheat', 'baked good']",,['added sugar'],
dusted,,,,modifier,1.0,,,,,,,,,,,,
dutch,,,,modifier,1.0,,,,,,,,,,,,
dymatize iso,dymatize,protein powder,,b,2.0,protein,protein powder,,,supplement,complete,4,['protein'],['protein powder'],,,['supplement']
dynamic,,,,stopword,1.0,,,,,,,,,,,,
ea,,,,stopword,1.0,,,,,,,,,,,,
earl grey,,earl grey tea,,b,2.0,tea,earl grey,,caffeine,,complete,1,['tea'],['earl grey'],,['caffeine'],
earlier,,,,modifier,1.0,,,,,,,,,,,,
easy,,,,modifier,1.0,,,,,,,,,,,,
easy peeler,,citrus fruit,,f,2.0,fruit,citrus,,,,incomplete,1,['fruit'],['citrus'],,,
eat,,,,stopword,1.0,,,,,,,,,,,,
eating,,,,stopword,1.0,,,,,,,,,,,,
echinacea,,tea,,b,1.0,tea,herbal,,caffeine-free,,complete,1,['tea'],['herbal'],,['caffeine-free'],
eckrich smokies,eckrich,sausage,,f,2.0,protein,"poultry, pork",chicken,"high sodium, saturated fat, highly processed",,complete,4,['protein'],"['poultry', 'pork']",['chicken'],"['high sodium', 'saturated fat', 'highly processed']",
eclair,,,,f,1.0,,,,,,,,,,,,
eclipse,,,,stopword,1.0,,,,,,,,,,,,
edamame,,soy beans,,f,1.0,protein,legume,soy bean,,,complete,,['protein'],['legume'],['soy bean'],,
eel,,eel,,f,1.0,protein,seafood,,,,complete,3,['protein'],['seafood'],,,
effervescent,,,,stopword,1.0,,,,,,,,,,,,
egg,,egg,,f,1.0,protein,egg,,saturated fat,,complete,,['protein'],['egg'],,['saturated fat'],
egg bacon sandwich,,egg bacon sandwich,,f,3.0,"grain, protein","wheat, egg, pork",,"high sodium, saturated fat",,incomplete,4,"['grain', 'protein']","['wheat', 'egg', 'pork']",,"['high sodium', 'saturated fat']",
egg bite,,egg bite,,f,2.0,"protein, dairy",egg,,,,incomplete,3,"['protein', 'dairy']",['egg'],,,
egg burrito,,egg burrito,,f,2.0,"grain, protein",egg,,high sodium,,incomplete,3,"['grain', 'protein']",['egg'],,['high sodium'],
egg cheese burrito,,egg cheese burrito,,f,3.0,"grain, protein, dairy","wheat, egg, cheese",,"high sodium, saturated fat",,incomplete,3,"['grain', 'protein', 'dairy']","['wheat', 'egg', 'cheese']",,"['high sodium', 'saturated fat']",
egg cheese sandwich,,egg cheese sandwich,,f,3.0,"grain, protein, dairy","wheat, egg, cheese",,"saturated fat, high sodium",,incomplete,4,"['grain', 'protein', 'dairy']","['wheat', 'egg', 'cheese']",,"['saturated fat', 'high sodium']",
egg drop soup,,,,f,3.0,,,,,,,,,,,,
egg noodle,,,,f,2.0,"grain, protein","wheat, egg",,,,,,"['grain', 'protein']","['wheat', 'egg']",,,
egg omelette,,egg omelette,egg omelette,f,2.0,protein,egg,,saturated fat,,vague,3,['protein'],['egg'],,['saturated fat'],
egg roll,,egg roll,,f,2.0,"grain, vegetable, protein",wheat,,,,vague,3,"['grain', 'vegetable', 'protein']",['wheat'],,,
egg salad,,egg salad,,f,2.0,"protein, dairy","egg, mayo",,,,complete,4,"['protein', 'dairy']","['egg', 'mayo']",,,
egg salad sandwich,,egg salad sandwich,,f,3.0,"grain, protein, dairy","egg, mayo",,high sodium,,complete,4,"['grain', 'protein', 'dairy']","['egg', 'mayo']",,['high sodium'],
egg sandwich,,egg sandwich,,f,2.0,"grain, protein",egg,,high sodium,,complete,4,"['grain', 'protein']",['egg'],,['high sodium'],
